iter	Passed	Remaining
980	6429	13232
981	6435	13224
982	6441	13216
983	6447	13209
984	6453	13201
985	6458	13193
986	6464	13184
987	6470	13176
988	6476	13169
989	6482	13161
990	6489	13155
991	6495	13149
992	6501	13141
993	6507	13133
994	6513	13126
995	6519	13118
996	6526	13110
997	6532	13103
998	6538	13097
999	6545	13090
1000	6552	13084
1001	6560	13080
1002	6566	13074
1003	6573	13068
1004	6579	13061
1005	6586	13055
1006	6593	13049
1007	6600	13043
1008	6607	13037
1009	6613	13030
1010	6619	13023
1011	6627	13018
1012	6634	13012
1013	6640	13006
1014	6647	13000
1015	6654	12994
1016	6661	12988
1017	6667	12981
1018	6673	12974
1019	6681	12969
1020	6687	12963
1021	6694	12957
1022	6701	12951
1023	6708	12945
1024	6715	12940
1025	6723	12936
1026	6730	12930
1027	6738	12925
1028	6744	12918
1029	6752	12915
1030	6759	12908
1031	6766	12903
1032	6773	12897
1033	6779	12891
1034	6787	12886
1035	6794	12880
1036	6801	12874
1037	6808	12868
1038	6814	12862
1039	6821	12855
1040	6828	12849
1041	6834	12843
1042	6841	12837
1043	6848	12831
1044	6855	12825
1045	6862	12819
1046	6869	12814
1047	6876	12807
1048	6882	12801
1049	6889	12795
1050	6896	12789
1051	6903	12783
1052	6909	12775
1053	6917	12772
1054	6924	12766
1055	6931	12760
1056	6937	12753
1057	6944	12747
1058	6951	12740
1059	6957	12734
1060	6964	12728
1061	6971	12721
1062	6978	12715
1063	6985	12710
1064	6991	12703
1065	6998	12697
1066	7005	12692
1067	7013	12687
1068	7023	12686
1069	7036	12692
1070	7046	12691
1071	7053	12686
1072	7060	12680
1073	7067	12674
1074	7074	12668
1075	7082	12663
1076	7088	12657
1077	7095	12651
1078	7102	12644
1079	7109	12638
1080	7116	12633
1081	7125	12630
1082	7132	12625
1083	7139	12619
1084	7146	12612
1085	7152	12606
1086	7159	12600
1087	7166	12593
1088	7173	12587
1089	7180	12582
1090	7187	12575
1091	7193	12569
1092	7201	12564
1093	7207	12556
1094	7214	12551
1095	7222	12546
1096	7229	12541
1097	7236	12534
1098	7242	12528
1099	7250	12522
1100	7256	12516
1101	7264	12511
1102	7271	12505
1103	7278	12499
1104	7284	12492
1105	7291	12487
1106	7299	12481
1107	7305	12475
1108	7312	12468
1109	7319	12463
1110	7326	12456
1111	7333	12451
1112	7340	12444
1113	7347	12439
1114	7355	12434
1115	7362	12429
1116	7369	12423
1117	7379	12422
1118	7390	12422
1119	7400	12421
1120	7409	12419
1121	7417	12415
1122	7425	12410
1123	7433	12407
1124	7440	12400
1125	7447	12395
1126	7454	12389
1127	7462	12384
1128	7469	12378
1129	7475	12371
1130	7483	12366
1131	7491	12361
1132	7498	12356
1133	7505	12350
1134	7512	12344
1135	7519	12338
1136	7526	12332
1137	7534	12327
1138	7538	12316
1139	7545	12310
1140	7552	12305
1141	7561	12301
1142	7567	12295
1143	7576	12291
1144	7583	12286
1145	7591	12282
1146	7598	12275
1147	7605	12268
1148	7612	12262
1149	7619	12256
1150	7626	12250
1151	7633	12245
1152	7640	12239
1153	7646	12232
1154	7654	12226
1155	7660	12219
1156	7667	12212
