date_mutation,valeur_fonciere,adresse_nom_voie,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,annee,mois,nombre_lots
2023-01-16,446600.0,RUE LEGENDRE,75017.0,Paris 17e Arrondissement,Appartement,46.0,2,2.326277,48.891669,9708.7,2023,1,1
2023-01-13,347900.0,RUE RIQUET,75018.0,Paris 18e Arrondissement,Appartement,40.0,2,2.361031,48.890283,8697.5,2023,1,1
2023-01-06,719450.0,RUE DE RIVOLI,75001.0,Paris 1er Arrondissement,Appartement,72.0,3,2.329031,48.865065,9992.36,2023,1,1
2023-01-18,305000.0,RUE JACQUEMONT,75017.0,Paris 17e Arrondissement,Appartement,28.0,1,2.323539,48.8884,10892.86,2023,1,1
2023-01-20,100000.0,RUE DE PALESTRO,75002.0,Paris 2e Arrondissement,Appartement,28.0,1,2.351424,48.865721,3571.43,2023,1,1
2023-01-23,217240.0,RUE EUGENE VARLIN,75010.0,Paris 10e Arrondissement,Appartement,17.0,1,2.364113,48.878319,12778.82,2023,1,1
2023-01-05,148836.0,RUE MANIN,75019.0,Paris 19e Arrondissement,Appartement,97.0,4,2.392548,48.885312,1534.39,2023,1,2
2023-01-18,288900.0,RUE DE CRIMEE,75019.0,Paris 19e Arrondissement,Appartement,29.0,2,2.3757,48.891239,9962.07,2023,1,2
2023-01-20,237500.0,RUE LUCIEN SAMPAIX,75010.0,Paris 10e Arrondissement,Appartement,20.0,2,2.359692,48.87112,11875.0,2023,1,2
2023-01-19,190000.0,RUE DE BAGNOLET,75020.0,Paris 20e Arrondissement,Appartement,17.0,1,2.406967,48.863406,11176.47,2023,1,2
2023-01-13,725000.0,RUE DE GRANGE BATELIERE,75009.0,Paris 9e Arrondissement,Appartement,55.0,3,2.341342,48.873454,13181.82,2023,1,2
2023-01-16,317800.0,RUE DU VERTBOIS,75003.0,Paris 3e Arrondissement,Appartement,26.0,1,2.358719,48.866686,12223.08,2023,1,1
2023-01-06,215000.0,RUE LEON JOST,75017.0,Paris 17e Arrondissement,Appartement,20.0,1,2.302285,48.880603,10750.0,2023,1,1
2023-01-20,422100.0,RUE GRENETA,75002.0,Paris 2e Arrondissement,Appartement,30.0,2,2.348391,48.865193,14070.0,2023,1,1
2023-01-16,430000.0,RUE LAMARCK,75018.0,Paris 18e Arrondissement,Appartement,38.0,2,2.344813,48.887047,11315.79,2023,1,2
